Query	data
 What are the Welsh Government's plans to address the attainment gap between disadvantaged pupils and their more affluent peers?	{"Subject1":"attainment gap between disadvantaged pupils and their more affluent peers","What-Was-Said-About-the-Subject":"Welsh Government's plans to address"}
 What are the Welsh Government's plans to address the attainment gap between disadvantaged pupils and their more affluent peers?	{"What-Was-Said-About-the-Subject":"Welsh Government's plans to address the attainment gap","Subject1":"disadvantaged pupils","Subject2":"their more affluent peers"}
 What is the project manager's favourite characteristic of the animal?	{"Subject1":"animal","What-Was-Said-About-the-Subject":"project manager's favourite characteristic","Person":"project manager"}
 What is the project manager's favourite characteristic of the animal?	{"Subject1":"animal","Person":"project manager","What-Was-Said-About-the-Subject":"project manager's favourite characteristic"}
 What are some of the obstacles to making the infra-red more functional?	{"Subject1":"infra-red more functional","What-Was-Said-About-the-Subject":"some of the obstacles to making"}
 What are some of the obstacles to making the infra-red more functional?	{"Subject1":"infra-red","What-Was-Said-About-the-Subject":"more functional"}
 What is happening at school or college level to prepare students for the next steps?	{"Subject1":"school or college level","What-Was-Said-About-the-Subject":"prepare students for the next steps"}
 What is happening at school or college level to prepare students for the next steps?	{"Subject1":"school or college level","What-Was-Said-About-the-Subject":"prepare students for the next steps"}
 What are the cross-government challenges to providing support for vulnerable children?	{"Subject1":"vulnerable children","What-Was-Said-About-the-Subject":"cross-government challenges to providing support"}
 What are the cross-government challenges to providing support for vulnerable children?	{"Subject1":"vulnerable children","What-Was-Said-About-the-Subject":"cross-government challenges to providing support"}
 What are the drawbacks of using a CrossPad to record meetings?	{"Subject1":"CrossPad","What-Was-Said-About-the-Subject":"drawbacks"}
 What are the drawbacks of using a CrossPad to record meetings?	{"Subject1":"record meetings","What-Was-Said-About-the-Subject":"drawbacks of using a CrossPad"}
 What is the Acting Chair saying at the start of the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"Acting Chair saying","Person":"Acting Chair"}
 What is the Acting Chair saying at the start of the meeting?	{"Subject1":"meeting","Person":"Acting Chair","What-Was-Said-About-the-Subject":"Acting Chair saying at the start"}
 what the key benefits and barriers of the Welsh-medium offer are?	{"Subject1":"Welsh-medium","What-Was-Said-About-the-Subject":"key benefits and barriers"}
 what the key benefits and barriers of the Welsh-medium offer are?	{"Subject1":"Welsh-medium offer","What-Was-Said-About-the-Subject":"key benefits and barriers"}
 What are the benefits of designing a remote control for a television?	{"Subject1":"designing a remote control","What-Was-Said-About-the-Subject":"benefits"}
 What are the benefits of designing a remote control for a television?	{"Subject1":"remote control for a television","What-Was-Said-About-the-Subject":"benefits of designing"}
 What does Kirsty Williams believe is the most significant element in the Government's response to this pandemic?	{"Subject1":"pandemic","What-Was-Said-About-the-Subject":"most significant element in the Government's response","Person":"Kirsty Williams"}
 What does Kirsty Williams believe is the most significant element in the Government's response to this pandemic?	{"Person":"Kirsty Williams","Subject1":"this pandemic","What-Was-Said-About-the-Subject":"most significant element in the Government's response"}
 What is the marketing team's idea for a new remote control?	{"Subject1":"new remote control","What-Was-Said-About-the-Subject":"marketing team's idea","Person":"marketing team"}
 What is the marketing team's idea for a new remote control?	{"Subject1":"new remote control","Person":"marketing team","What-Was-Said-About-the-Subject":"marketing team's idea"}
 Why did the Committee for Children, Education, Lifelong Learning and Skills scrutinise HMRC so extensively?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"Committee for Children, Education, Lifelong Learning and Skills scrutinise"}
 Why did the Committee for Children, Education, Lifelong Learning and Skills scrutinise HMRC so extensively?	{"What-Was-Said-About-the-Subject":"scrutinise HMRC","Subject1":"Committee for Children, Education, Lifelong Learning and Skills"}
 What are the multi-frame KLT and the neural net?	{"Subject1":"multi-frame KLT","Subject2":"neural net"}
 What are the multi-frame KLT and the neural net?	{"Subject1":"multi-frame KLT","Subject2":"neural net"}
 What is the endpoint of the system?	{"Subject1":"system","What-Was-Said-About-the-Subject":"endpoint"}
 What is the endpoint of the system?	{"Subject1":"system","What-Was-Said-About-the-Subject":"endpoint"}
 What did the speakers discuss as a potential fix for the latency issue?	{"Subject1":"latency issue","What-Was-Said-About-the-Subject":"speakers discuss as a potential fix"}
 What did the speakers discuss as a potential fix for the latency issue?	{"Subject1":"latency issue","What-Was-Said-About-the-Subject":"potential fix","Person":"speakers"}
 How long does it take for the microscope to start moving after the user presses the button?	{"Subject1":"microscope","What-Was-Said-About-the-Subject":"start moving after the user presses the button"}
 How long does it take for the microscope to start moving after the user presses the button?	{"Subject1":"microscope","What-Was-Said-About-the-Subject":"start moving after the user presses the button"}
 What does Professor D. think about the data gathering for the system?	{"Person":"Professor D.","Subject1":"system","What-Was-Said-About-the-Subject":"Professor D. think about the data gathering"}
 What does Professor D. think about the data gathering for the system?	{"Subject1":"data gathering for the system","What-Was-Said-About-the-Subject":"Professor D. think","Person":"Professor D."}
 What are the possible consequences of the closure of Parliament due to the election?	{"Subject1":"closure of Parliament due to the election","What-Was-Said-About-the-Subject":"possible consequences"}
 What are the possible consequences of the closure of Parliament due to the election?	{"Subject1":"closure of Parliament","What-Was-Said-About-the-Subject":"possible consequences"}
 What is the difference between a plastic remote control and a titanium remote control?	{"Subject1":"plastic remote control","Subject2":"titanium remote control?"}
 What is the difference between a plastic remote control and a titanium remote control?	{"Subject1":"plastic remote control","Subject2":"titanium remote control","What-Was-Said-About-the-Subject":"difference"}
 Who ordered the contract to clear the blockage on the Fraser River be increased from $17.6 million to over $52.5 million?	{"Subject1":"Fraser River","What-Was-Said-About-the-Subject":"ordered the contract to clear the blockage"}
 Who ordered the contract to clear the blockage on the Fraser River be increased from $17.6 million to over $52.5 million?	{"Subject1":"Fraser River","What-Was-Said-About-the-Subject":"contract to clear the blockage"}
 Why were the number of vulnerable children in school reduced?	{"Subject1":"number of vulnerable children in school","What-Was-Said-About-the-Subject":"reduced"}
 Why were the number of vulnerable children in school reduced?	{"Subject1":"number of vulnerable children in school","What-Was-Said-About-the-Subject":"reduced"}
 What are the views of the Prime Minister on the military personnel currently working in Quebec?	{"Subject1":"military personnel","What-Was-Said-About-the-Subject":"views of the Prime Minister"}
 What are the views of the Prime Minister on the military personnel currently working in Quebec?	{"Person":"Prime Minister","Subject1":"military personnel currently working in Quebec","What-Was-Said-About-the-Subject":"views of the Prime Minister"}
 What is the arrow symbol on the remote control for?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"arrow symbol"}
 What is the arrow symbol on the remote control for?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"arrow symbol"}
 What was the Welsh Government's response to the attainment gap?	{"Subject1":"attainment gap","What-Was-Said-About-the-Subject":"Welsh Government's response"}
 What was the Welsh Government's response to the attainment gap?	{"Subject1":"attainment gap","What-Was-Said-About-the-Subject":"Welsh Government's response"}
 Why did the group stop taking notes for the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"group stop taking notes"}
 Why did the group stop taking notes for the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"group stop taking notes"}
 What is the Government of Canada's debt to the People's Republic of China?	{"Subject1":"Government of Canada","Subject2":"People's Republic of China","What-Was-Said-About-the-Subject":"debt"}
 What is the Government of Canada's debt to the People's Republic of China?	{"Subject1":"People's Republic of China","What-Was-Said-About-the-Subject":"Government of Canada's debt"}
 How do people feel about the idea of an L_C_D_ screen?	{"Subject1":"L_C_D_ screen","What-Was-Said-About-the-Subject":"people feel about the idea"}
 How do people feel about the idea of an L_C_D_ screen?	{"Subject1":"L_C_D_ screen","What-Was-Said-About-the-Subject":"people feel about the idea"}
 what impact the offer is having on the Welsh language skills of childcare and play staff?	{"Subject1":"childcare and play staff","What-Was-Said-About-the-Subject":"impact the offer is having on the Welsh language skills"}
 what impact the offer is having on the Welsh language skills of childcare and play staff?	{"Subject1":"childcare and play staff","What-Was-Said-About-the-Subject":"impact the offer is having on the Welsh language skills"}
 What are the initial ideas discussed for the energy source of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"initial ideas discussed for the energy source"}
 What are the initial ideas discussed for the energy source of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"initial ideas discussed for the energy source"}
 What does the user interface think of the idea of incorporating graphical user points?	{"Subject1":"graphical user points","What-Was-Said-About-the-Subject":"user interface think of the idea of incorporating","Person":"user interface"}
 What does the user interface think of the idea of incorporating graphical user points?	{"Person":"user interface","Subject1":"graphical user points","What-Was-Said-About-the-Subject":"user interface think of the idea of incorporating"}
 How does the sonorance detector work?	{"Subject1":"sonorance detector","What-Was-Said-About-the-Subject":"work"}
 How does the sonorance detector work?	{"Subject1":"sonorance detector","What-Was-Said-About-the-Subject":"work"}
 What is the professor's opinion on the student's idea of slowing down the speech rate?	{"Subject1":"speech rate","What-Was-Said-About-the-Subject":"professor's opinion on the student's idea of slowing down","Person":"professor"}
 What is the professor's opinion on the student's idea of slowing down the speech rate?	{"Subject1":"speech rate","What-Was-Said-About-the-Subject":"professor's opinion on the student's idea of slowing down","Person":"professor"}
 What are the different types of XML tools?	{"Subject1":"XML tools","What-Was-Said-About-the-Subject":"different types"}
 What are the different types of XML tools?	{"Subject1":"XML tools","What-Was-Said-About-the-Subject":"different types"}
 What is the infra-red bulb designed to do?	{"Subject1":"infra-red bulb","What-Was-Said-About-the-Subject":"designed to do"}
 What is the infra-red bulb designed to do?	{"Subject1":"infra-red bulb","What-Was-Said-About-the-Subject":"designed to do"}
 Will the Project Manager need to set a strict budget for the device?	{"Person":"Project Manager","Subject1":"device","What-Was-Said-About-the-Subject":"need to set a strict budget"}
 Will the Project Manager need to set a strict budget for the device?	{"Person":"Project Manager","Subject1":"device","What-Was-Said-About-the-Subject":"need to set a strict budget"}
 What does Dr. Atherton think about the impact of physical activity on weight?	{"Person":"Dr. Atherton","Subject1":"weight","What-Was-Said-About-the-Subject":"impact of physical activity"}
 What does Dr. Atherton think about the impact of physical activity on weight?	{"Subject1":"weight","What-Was-Said-About-the-Subject":"impact of physical activity","Person":"Dr. Atherton"}
 What is the funding council's role in challenging institutions?	{"Subject1":"challenging institutions","What-Was-Said-About-the-Subject":"funding council's role"}
 What is the funding council's role in challenging institutions?	{"Subject1":"challenging institutions","What-Was-Said-About-the-Subject":"funding council's role"}
 When will the next child measurement programme take place in Wales?	{"Subject1":"child measurement programme","What-Was-Said-About-the-Subject":"take place"}
 When will the next child measurement programme take place in Wales?	{"Subject1":"child measurement programme","What-Was-Said-About-the-Subject":"take place in Wales"}
 What does the project manager want the industrial designer to do?	{"Subject1":"industrial designer to do","Person":"project manager"}
 What does the project manager want the industrial designer to do?	{"Subject1":"industrial designer to do","Person":"project manager"}
 What does Dr. Atherton think about the timing of introducing legislation?	{"Person":"Dr. Atherton","Subject1":"timing of introducing legislation","What-Was-Said-About-the-Subject":"Dr. Atherton think"}
 What does Dr. Atherton think about the timing of introducing legislation?	{"Subject1":"legislation","Person":"Dr. Atherton","What-Was-Said-About-the-Subject":"timing of introducing"}
 What should prospective students considering studying in Wales know?	{"Subject1":"students considering studying in Wales","What-Was-Said-About-the-Subject":"know"}
 What should prospective students considering studying in Wales know?	{"Subject1":"prospective students","What-Was-Said-About-the-Subject":"studying in Wales"}
 How long does it take for universities to have their fee and access plans approved?	{"Subject1":"fee and access plans approved","What-Was-Said-About-the-Subject":"for universities"}
 How long does it take for universities to have their fee and access plans approved?	{"Subject1":"universities","What-Was-Said-About-the-Subject":"fee and access plans approved"}
 Why is the integrated circuit important?	{"Subject1":"integrated circuit","What-Was-Said-About-the-Subject":"important"}
 Why is the integrated circuit important?	{"Subject1":"integrated circuit"}
 What are the pros and cons of the remotes that the user interface is considering?	{"What-Was-Said-About-the-Subject":"pros and cons","Person":"user interface","Subject1":"remotes"}
 What are the pros and cons of the remotes that the user interface is considering?	{"Subject1":"remotes","What-Was-Said-About-the-Subject":"pros and cons","Person":"user interface"}
 What are the risks and opportunities of Brexit for Welsh higher education institutions?	{"Subject1":"Brexit for Welsh higher education institutions","What-Was-Said-About-the-Subject":"risks and opportunities"}
 What are the risks and opportunities of Brexit for Welsh higher education institutions?	{"Subject1":"Welsh higher education institutions","What-Was-Said-About-the-Subject":"risks and opportunities of Brexit"}
 What does Marketing think about the research they have done?	{"Person":"Marketing","What-Was-Said-About-the-Subject":"Marketing think","Subject1":"research"}
 What does Marketing think about the research they have done?	{"Subject1":"research","What-Was-Said-About-the-Subject":"Marketing think","Person":"Marketing"}
 What is the new data set that will be collected?	{"Subject1":"new data set","What-Was-Said-About-the-Subject":"collected"}
 What is the new data set that will be collected?	{"Subject1":"new data set","What-Was-Said-About-the-Subject":"that will be collected"}
 What qualities should the integrated circuit have?	{"Subject1":"integrated circuit","What-Was-Said-About-the-Subject":"qualities"}
 What qualities should the integrated circuit have?	{"Subject1":"integrated circuit","What-Was-Said-About-the-Subject":"qualities"}
 What are the messages on why prospective students should study in Wales?	{"Subject1":"prospective students should study in Wales","What-Was-Said-About-the-Subject":"messages"}
 What are the messages on why prospective students should study in Wales?	{"Subject1":"study in Wales","What-Was-Said-About-the-Subject":"the messages on why prospective students"}
 What are the components that the industrial designer is suggesting for the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"components","Person":"industrial designer"}
 What are the components that the industrial designer is suggesting for the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"components","Person":"industrial designer"}
 What is the National Union of Students' role in the higher education sector in Wales?	{"Subject1":"higher education sector in Wales","What-Was-Said-About-the-Subject":"National Union of Students' role"}
 What is the National Union of Students' role in the higher education sector in Wales?	{"Subject1":"higher education sector in Wales","What-Was-Said-About-the-Subject":"National Union of Students' role"}
 What is the project manager's reaction to the design choices of the industrial designer?	{"Subject1":"design","What-Was-Said-About-the-Subject":"project manager's reaction","Person":"project manager"}
 What is the project manager's reaction to the design choices of the industrial designer?	{"Person":"project manager","Subject1":"design choices of the industrial designer","What-Was-Said-About-the-Subject":"project manager's reaction"}
 Based on what the interface has said, are there any features that the customer cannot buy separately?	{"Subject1":"features","What-Was-Said-About-the-Subject":"customer cannot buy separately","Person":"interface"}
 Based on what the interface has said, are there any features that the customer cannot buy separately?	{"Subject1":"features","What-Was-Said-About-the-Subject":"customer cannot buy separately"}
 What are the universities doing to maintain access to the successor to Horizon 2020?	{"Subject1":"Horizon 2020","What-Was-Said-About-the-Subject":"universities doing to maintain access to the successor"}
 What are the universities doing to maintain access to the successor to Horizon 2020?	{"Subject1":"Horizon 2020","What-Was-Said-About-the-Subject":"universities doing to maintain access to the successor"}
 How does the Bayes-net work?	{"Subject1":"Bayes-net","What-Was-Said-About-the-Subject":"work"}
 How does the Bayes-net work?	{"Subject1":"Bayes-net"}
 What are barriers to the idea of using schools as community sports facilities?	{"Subject1":"schools","What-Was-Said-About-the-Subject":"community sports facilities"}
 What are barriers to the idea of using schools as community sports facilities?	{"Subject1":"schools","What-Was-Said-About-the-Subject":"community sports facilities"}
 What is the impact of changing student support arrangements for EU students?	{"Subject1":"EU students","What-Was-Said-About-the-Subject":"impact of changing student support arrangements"}
 What is the impact of changing student support arrangements for EU students?	{"Subject1":"EU students","What-Was-Said-About-the-Subject":"impact of changing student support arrangements"}
 What is the difference between the production costs and the selling costs?	{"Subject1":"production costs","Subject2":"selling costs","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between the production costs and the selling costs?	{"Subject1":"production costs","Subject2":"selling costs","What-Was-Said-About-the-Subject":"difference"}
 What are the data gaps that Dr. Atherton is concerned about?	{"Person":"Dr. Atherton","Subject1":"data gaps","What-Was-Said-About-the-Subject":"Dr. Atherton is concerned"}
 What are the data gaps that Dr. Atherton is concerned about?	{"Subject1":"data gaps","Person":"Dr. Atherton","What-Was-Said-About-the-Subject":"Dr. Atherton is concerned"}
 What are the specifications of a universal remote control?	{"Subject1":"universal remote control","What-Was-Said-About-the-Subject":"specifications"}
 What are the specifications of a universal remote control?	{"What-Was-Said-About-the-Subject":"specifications","Subject1":"universal remote control"}
 What is Dr David Blaney's opinion on the idea that students from other EU countries should be able to continue to study at Welsh institutions?	{"Person":"Dr David Blaney","Subject1":"students from other EU countries should be able to continue to study at Welsh institutions","What-Was-Said-About-the-Subject":"Dr David Blaney's opinion"}
 What is Dr David Blaney's opinion on the idea that students from other EU countries should be able to continue to study at Welsh institutions?	{"What-Was-Said-About-the-Subject":"Dr David Blaney's opinion","Person":"Dr David Blaney","Subject1":"students from other EU countries should be able to continue to study at Welsh institutions"}
 What is the difference between Erasmus+ and the mobility funding for students?	{"What-Was-Said-About-the-Subject":"difference","Subject1":"Erasmus+","Subject2":"mobility funding"}
 What is the difference between Erasmus+ and the mobility funding for students?	{"Subject1":"Erasmus+","Subject2":"mobility funding","What-Was-Said-About-the-Subject":"difference"}
 What are the implications of the difference between the current level of funding and the anticipated level of funding?	{"Subject1":"current level of funding","Subject2":"anticipated level of funding","What-Was-Said-About-the-Subject":"implications of the difference"}
 What are the implications of the difference between the current level of funding and the anticipated level of funding?	{"Subject1":"current level of funding","Subject2":"anticipated level of funding","What-Was-Said-About-the-Subject":"difference"}
 What is the need for a separate module for the SPG schema?	{"Subject1":"SPG schema","What-Was-Said-About-the-Subject":"need for a separate module"}
 What is the need for a separate module for the SPG schema?	{"Subject1":"SPG schema","What-Was-Said-About-the-Subject":"need for a separate module"}
 Why does the user interface say the controller is cheap?	{"Person":"user interface","Subject1":"controller","What-Was-Said-About-the-Subject":"cheap"}
 Why does the user interface say the controller is cheap?	{"Person":"user interface","Subject1":"controller","What-Was-Said-About-the-Subject":"cheap"}
 What are some ways of automatically transcribing breaths?	{"Subject1":"breaths","What-Was-Said-About-the-Subject":"some ways of automatically transcribing"}
 What are some ways of automatically transcribing breaths?	{"Subject1":"breaths","What-Was-Said-About-the-Subject":"some ways of automatically transcribing"}
 What are the major issues or challenges facing higher education institutions in the UK working in the context of Brexit?	{"Subject1":"higher education institutions","What-Was-Said-About-the-Subject":"working in the context of Brexit"}
 What are the major issues or challenges facing higher education institutions in the UK working in the context of Brexit?	{"Subject1":"higher education institutions in the UK","What-Was-Said-About-the-Subject":"context of Brexit"}
 What is the health secretary's stance on free school meals for all children at primary and secondary schools?	{"Person":"health secretary","Subject1":"primary and secondary schools","What-Was-Said-About-the-Subject":"free school meals for all children"}
 What is the health secretary's stance on free school meals for all children at primary and secondary schools?	{"Person":"health secretary","Subject1":"primary and secondary schools","What-Was-Said-About-the-Subject":"free school meals"}
 Would Dr. Atherton be interested in legislation that would restrict takeaways near schools?	{"Person":"Dr. Atherton","Subject1":"legislation","What-Was-Said-About-the-Subject":"restrict takeaways near schools"}
 Would Dr. Atherton be interested in legislation that would restrict takeaways near schools?	{"Subject1":"restrict takeaways near schools","Person":"Dr. Atherton","What-Was-Said-About-the-Subject":"Dr. Atherton be interested in legislation"}
 What are the benefits of universal provision of physical education in schools?	{"Subject1":"schools","What-Was-Said-About-the-Subject":"benefits of universal provision of physical education"}
 What are the benefits of universal provision of physical education in schools?	{"Subject1":"universal provision of physical education in schools","What-Was-Said-About-the-Subject":"benefits"}
 Why is it important for good practice to travel to all parts of Wales?	{"Subject1":"good practice","What-Was-Said-About-the-Subject":"travel to all parts of Wales"}
 Why is it important for good practice to travel to all parts of Wales?	{"Subject1":"travel to all parts of Wales","What-Was-Said-About-the-Subject":"important for good practice"}
 What are the implications for this study if the study's participants are not representative of the population of Wales?	{"Subject1":"implications for this study","What-Was-Said-About-the-Subject":"study's participants are not representative of the population of Wales"}
 What are the implications for this study if the study's participants are not representative of the population of Wales?	{"Subject1":"study","What-Was-Said-About-the-Subject":"study's participants are not representative of the population of Wales"}
 How many pages of the meeting have been transcribed?	{"Subject1":"pages of the meeting","What-Was-Said-About-the-Subject":"transcribed"}
 How many pages of the meeting have been transcribed?	{"Subject1":"pages of the meeting","What-Was-Said-About-the-Subject":"transcribed"}
 Why did the Industrial Designer put the microphone switch in that location?	{"Person":"Industrial Designer","Subject1":"microphone switch"}
 Why did the Industrial Designer put the microphone switch in that location?	{"Subject1":"microphone switch","Person":"Industrial Designer"}
 What are the main pressures on the Welsh higher education sector?	{"Subject1":"Welsh higher education sector","What-Was-Said-About-the-Subject":"main pressures"}
 What are the main pressures on the Welsh higher education sector?	{"Subject1":"Welsh higher education sector","What-Was-Said-About-the-Subject":"main pressures"}
 What limitations does England face when using data?	{"Subject1":"data","What-Was-Said-About-the-Subject":"limitations does England face"}
 What limitations does England face when using data?	{"Subject1":"England","What-Was-Said-About-the-Subject":"limitations"}
 What organisations or bodies does Dr David Blaney currently work with to protect student interests?	{"Person":"Dr David Blaney","Subject1":"organisations or bodies","What-Was-Said-About-the-Subject":"Dr David Blaney currently work with to protect student interests"}
 What organisations or bodies does Dr David Blaney currently work with to protect student interests?	{"Subject1":"protect student interests","What-Was-Said-About-the-Subject":"organisations or bodies does Dr David Blaney currently work","Person":"Dr David Blaney"}
 What are the possible problems with the algorithm Professor C is suggesting?	{"What-Was-Said-About-the-Subject":"possible problems","Subject1":"algorithm","Person":"Professor C"}
 What are the possible problems with the algorithm Professor C is suggesting?	{"Subject1":"algorithm","What-Was-Said-About-the-Subject":"possible problems","Person":"Professor C"}
 What two areas of education do you feel good practice has not been able to cross into all parts of Wales?	{"Subject1":"two areas of education","What-Was-Said-About-the-Subject":"good practice has not been able to cross into all parts of Wales"}
 What two areas of education do you feel good practice has not been able to cross into all parts of Wales?	{"Subject1":"two areas of education","What-Was-Said-About-the-Subject":"good practice has not been able to cross into all parts of Wales"}
 How can Estyn encourage or highlight the need for greater consistency in community-focused schools across Wales?	{"Subject1":"Estyn","What-Was-Said-About-the-Subject":"need for greater consistency in community-focused schools across Wales"}
 How can Estyn encourage or highlight the need for greater consistency in community-focused schools across Wales?	{"Subject1":"community-focused schools across Wales","What-Was-Said-About-the-Subject":"Estyn encourage or highlight the need for greater consistency"}
 What is the difference between the two communicative intents?	{"Subject1":"two communicative intents","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between the two communicative intents?	{"Subject1":"two communicative intents","What-Was-Said-About-the-Subject":"difference"}
 What is the new idea for how to get the subject to have intentions?	{"Subject1":"subject to have intentions","What-Was-Said-About-the-Subject":"new idea"}
 What is the new idea for how to get the subject to have intentions?	{"Subject1":"subject to have intentions","What-Was-Said-About-the-Subject":"new idea"}
 How many multifunctional buttons are in the design?	{"Subject1":"multifunctional buttons","What-Was-Said-About-the-Subject":"in the design"}
 How many multifunctional buttons are in the design?	{"Subject1":"design","What-Was-Said-About-the-Subject":"multifunctional buttons"}
 How should the backchannels be handled in the transcription process?	{"Subject1":"transcription process","What-Was-Said-About-the-Subject":"backchannels be handled"}
 How should the backchannels be handled in the transcription process?	{"Subject1":"transcription process","What-Was-Said-About-the-Subject":"backchannels be handled"}
 How does the system's price change if you want to add more functions?	{"Subject1":"system's price","What-Was-Said-About-the-Subject":"change if you want to add more functions"}
 How does the system's price change if you want to add more functions?	{"Subject1":"functions","What-Was-Said-About-the-Subject":"system's price change"}
 What are the minimum requirements for a good remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"minimum requirements"}
 What are the minimum requirements for a good remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"minimum requirements"}
 What is the UK Government's stance on Erasmus?	{"Subject1":"Erasmus","What-Was-Said-About-the-Subject":"UK Government's stance"}
 What is the UK Government's stance on Erasmus?	{"Subject1":"Erasmus","What-Was-Said-About-the-Subject":"UK Government's stance"}
 What are the difficulties with Community-Focused Schools?	{"Subject1":"Community-Focused Schools","What-Was-Said-About-the-Subject":"difficulties"}
 What are the difficulties with Community-Focused Schools?	{"Subject1":"Community-Focused Schools","What-Was-Said-About-the-Subject":"difficulties"}
 What is Dr. Frank Atherton's opinion on the idea of using the sports environment	{"Subject1":"sports environment","Person":"Dr. Frank Atherton","What-Was-Said-About-the-Subject":"Dr. Frank Atherton's opinion on the idea"}
 What is Dr. Frank Atherton's opinion on the idea of using the sports environment	{"Subject1":"idea of using the sports environment","What-Was-Said-About-the-Subject":"Dr. Frank Atherton's opinion","Person":"Dr. Frank Atherton"}
 What are the implications of using the sports environment in schools?	{"Subject1":"schools","What-Was-Said-About-the-Subject":"implications of using the sports environment"}
 What are the implications of using the sports environment in schools?	{"Subject1":"sports environment in schools","What-Was-Said-About-the-Subject":"implications"}
 How up to date is the data collected by the Child Measurement Programme?	{"Subject1":"data collected by the Child Measurement Programme","What-Was-Said-About-the-Subject":"up to date"}
 How up to date is the data collected by the Child Measurement Programme?	{"Subject1":"data collected by the Child Measurement Programme","What-Was-Said-About-the-Subject":"up to date"}
 What message does Dr David Blaney believe Welsh universities should emphasize in order to attract prospective students?	{"Person":"Dr David Blaney","Subject1":"Welsh universities","What-Was-Said-About-the-Subject":"attract prospective students"}
 What message does Dr David Blaney believe Welsh universities should emphasize in order to attract prospective students?	{"Person":"Dr David Blaney","Subject1":"Welsh universities","What-Was-Said-About-the-Subject":"message"}
 What is the rationale for the scale to be from one to seven?	{"Subject1":"scale","What-Was-Said-About-the-Subject":"rationale"}
 What is the rationale for the scale to be from one to seven?	{"Subject1":"rationale for the scale","What-Was-Said-About-the-Subject":"from one to seven"}
 What does Mr. Rowlands think is a potential reason for the differences in the two sectors?	{"Subject1":"two sectors","What-Was-Said-About-the-Subject":"potential reason for the differences","Person":"Mr. Rowlands"}
 What does Mr. Rowlands think is a potential reason for the differences in the two sectors?	{"Person":"Mr. Rowlands","Subject1":"two sectors","What-Was-Said-About-the-Subject":"potential reason for the differences"}
 What is Dr. Blaney's opinion on the idea of an EU-wide quota?	{"Subject1":"EU-wide quota","What-Was-Said-About-the-Subject":"Dr. Blaney's opinion","Person":"Dr. Blaney"}
 What is Dr. Blaney's opinion on the idea of an EU-wide quota?	{"Subject1":"EU-wide quota","What-Was-Said-About-the-Subject":"Dr. Blaney's opinion","Person":"Dr. Blaney"}
 What will happen if changes to university fee levels in the UK go on as under the Diamond Reforms?	{"Subject1":"fee levels","What-Was-Said-About-the-Subject":"changes"}
 What will happen if changes to university fee levels in the UK go on as under the Diamond Reforms?	{"Subject1":"university fee levels","What-Was-Said-About-the-Subject":"changes"}
 What is the Minister's opinion on whether a target is needed to reduce obesity among children?	{"Person":"Minister","Subject1":"reduce obesity among children","What-Was-Said-About-the-Subject":"opinion on whether a target is needed"}
 What is the Minister's opinion on whether a target is needed to reduce obesity among children?	{"Subject1":"obesity among children","What-Was-Said-About-the-Subject":"target is needed to reduce","Person":"Minister"}
 What is the main issue with transcribing breaths?	{"Subject1":"breaths","What-Was-Said-About-the-Subject":"main issue with transcribing"}
 What is the main issue with transcribing breaths?	{"Subject1":"transcribing breaths","What-Was-Said-About-the-Subject":"main issue"}
 What is the Marketing Manager's suggestion for the design of this product?	{"Person":"Marketing Manager","What-Was-Said-About-the-Subject":"suggestion for the design","Subject1":"this product"}
 What is the Marketing Manager's suggestion for the design of this product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"suggestion for the design","Person":"Marketing Manager"}
 What are the implications of the lack of data for Wales?	{"Subject1":"lack of data for Wales","What-Was-Said-About-the-Subject":"implications"}
 What are the implications of the lack of data for Wales?	{"Subject1":"lack of data","What-Was-Said-About-the-Subject":"implications"}
 What is the lead organization or lead ministry for the obesity plan?	{"Subject1":"obesity plan","What-Was-Said-About-the-Subject":"lead organization or lead ministry"}
 What is the lead organization or lead ministry for the obesity plan?	{"Subject1":"obesity plan","What-Was-Said-About-the-Subject":"lead organization or lead ministry"}
 What does the speaker think about the standards in special schools?	{"Subject1":"special schools","What-Was-Said-About-the-Subject":"speaker think about the standards","Person":"speaker"}
 What does the speaker think about the standards in special schools?	{"Subject1":"special schools","Person":"speaker","What-Was-Said-About-the-Subject":"speaker think about the standards"}
 How would a longitudinal study help the Welsh government understand the data?	{"Subject1":"Welsh government understand the data","What-Was-Said-About-the-Subject":"longitudinal study help"}
